Avión;CR (mm);Ck (mm);xk (mm);Yk (mm);Ct (mm);xt (mm);yt (mm);2.yt       (m);b (mm);Sw1 (mm);Sw2 (mm);Sw (mm);Sw m2;CAM1 (mm);CAM2 (mm);CAM (mm);L1;L2;L;YCAM1 (mm);YCAM2 (mm);YCAM (mm);XCAM1 (mm);XCAM2 (mm);XCAM (mm);Ar  =(b2/Sw);CRe ( mm);cte (mm);le=CRe/cte;Carga  alar             (kg/m2);Angulo diedro (º);Alargamiento (Ar);Perfil de raíz t/c %;Perfil de puntera o t/c %;Tipo de perfil / Airfoil
Airbus A220-300;6900,00;3350,00;3445,00;6233,00;1537,00;8988,00;16260,00;32,520;35100,00;63888250,00;49001949,00;112890199,00;112,89;5329,92;2555,60;4125,68;22,31;26,91;24,31;2756,71;4393,52;6172,74;1523,64;2428,77;4443,31;9,368;6081,72;861,10;0,14;598,68;6;9,37;15,00;11,00;SC
Airbus A310-300;9750,00;4950,00;5021,00;8339,00;2175,00;12972,00;21950,00;43,900;43900,00;122583300,00;96978375,00;219561675,00;219,56;7611,22;3742,63;5902,50;24,62;28,07;26,14;3940,79;5921,98;8499,12;1628,02;4145,08;5737,03;8,778;8678,40;1324,41;0,15;746,94;5;8,78;15,20;10,80;SC
Airbus A318-100;6790,00;3650,00;3426,00;6613,00;1490,00;9200,00;17050,00;34,100;34100,00;69039720,00;53646180,00;122685900,00;122,69;5377,40;2721,28;4215,98;21,77;26,63;23,90;2966,97;4487,50;6523,48;1545,62;2474,43;4512,13;9,478;6180,84;1014,81;0,16;554,26;6;9,48;15,00;11,00;SC
Airbus A319-100;6790,00;3650,00;3426,00;6613,00;1490,00;9200,00;17050,00;34,100;34100,00;69039720,00;53646180,00;122685900,00;122,69;5377,40;2721,28;4215,98;21,77;26,63;23,90;2966,97;4487,50;6523,48;1545,62;2474,43;4512,13;9,478;6180,84;1014,81;0,16;554,26;6;9,48;15,20;10,80;SC
Airbus A319neo;6790,00;3650,00;3426,00;6613,00;1640,00;9200,00;17100,00;34,200;35800,00;69039720,00;55476230,00;124515950,00;124,52;5377,40;2772,29;4216,73;21,77;26,69;23,96;2966,97;4579,39;6631,68;1545,62;2513,05;4565,70;9,393;6148,88;1132,75;0,18;602,33;6;9,39;15,20;10,80;SC
Airbus A320-100;6790,00;3650,00;3426,00;6613,00;1490,00;9200,00;17050,00;34,100;34100,00;69039720,00;53646180,00;122685900,00;122,69;5377,40;2721,28;4215,98;21,77;26,63;23,90;2966,97;4487,50;6523,48;1545,62;2474,43;4512,13;9,478;6180,84;1014,81;0,16;635,77;6;9,48;15,20;10,80;SC
Airbus A320-200;6790,00;3650,00;3426,00;6613,00;1490,00;9200,00;17050,00;34,100;34100,00;69039720,00;53646180,00;122685900,00;122,69;5377,40;2721,28;4215,98;21,77;26,63;23,90;2966,97;4487,50;6523,48;1545,62;2474,43;4512,13;9,478;6180,84;1014,81;0,16;635,77;6;9,48;15,20;10,80;SC
Airbus A320neo;6790,00;3650,00;3426,00;6613,00;1640,00;9200,00;17100,00;34,200;35800,00;69039720,00;55476230,00;124515950,00;124,52;5377,40;2772,29;4216,73;21,77;26,69;23,96;2966,97;4579,39;6631,68;1545,62;2513,05;4565,70;9,393;6148,88;1132,75;0,18;634,46;6;9,39;15,20;10,80;SC
Airbus A320neo LR;6790,00;3650,00;3426,00;6613,00;1640,00;9200,00;17100,00;34,200;35800,00;69039720,00;55476230,00;124515950,00;124,52;5377,40;2772,29;4216,73;21,77;26,69;23,96;2966,97;4579,39;6631,68;1545,62;2513,05;4565,70;9,393;6148,88;1132,75;0,18;779,02;6;9,39;15,20;10,80;SC
Airbus A321;6790,00;3650,00;3426,00;6613,00;1490,00;9200,00;17050,00;34,100;34100,00;69039720,00;53646180,00;122685900,00;122,69;5377,40;2721,28;4215,98;21,77;26,63;23,90;2966,97;4487,50;6523,48;1545,62;2474,43;4512,13;9,478;6180,84;1014,81;0,16;762,11;6;9,48;15,20;10,80;SC
