Avión;Filas Asientos a lo largo;Hileras Asientos al frente;pasajeros promedio;pasillos;An.Fus;Al.Fus;Diámetro medio (m);LN;Lcab;LCC;Lfus;Relacion de fineza, rf;
Airbus A220-300;32;5;160;1;4139;4297;4217,26;5726;22713;10360;38799;9,20;
Airbus A310-300;30;8;240;2;5648;5648;5648,00;8573;20114;17373;46060;8,16;
Airbus A318-100;22;6;132;1;3950;4140;4043,88;5500;20000;6000;31500;7,79;
Airbus A319-100;25;6;150;1;3950;4140;4043,88;5500;22300;6000;33800;8,36;
Airbus A319neo;26;6;156;1;3950;4140;4043,88;5500;22300;6000;33800;8,36;
Airbus A320-100;25;6;150;1;3950;4140;4043,88;5500;26000;6000;37500;9,27;
Airbus A320-200;30;6;180;1;3950;4140;4043,88;5500;26000;6000;37500;9,27;
Airbus A320neo;30;6;180;1;3950;4140;4043,88;5500;26000;6000;37500;9,27;
Airbus A320neo LR;30;6;180;1;3950;4140;4043,88;5500;26000;6000;37500;9,27;
Airbus A321;36;6;216;1;3950;4140;4043,88;5500;33000;6000;44500;11,00;
Airbus A321neo;36;6;216;1;3950;4140;4043,88;5500;33000;6000;44500;11,00;
Airbus A321neo XLR;40;6;240;1;3950;4140;4043,88;5500;33000;6000;44500;11,00;
Airbus A330-200;35;8;280;2;5640;5640;5640,00;8612;31316;18440;58368;10,35;
Airbus A330-300;36;8;288;2;5120;5120;5120,00;8612;35838;18440;62890;12,28;
Airbus A330-800neo;36;8;288;2;5640;5640;5640,00;8612;30450;18440;57502;10,20;
Airbus A330-900neo;44;8;352;2;5640;5640;5640,00;8612;35750;18440;62802;11,14;
Airbus A340-200;37;8;296;2;5640;5640;5640,00;8612;32350;18440;59402;10,53;
Airbus A340-300;38;8;304;2;5640;5640;5640,00;8612;36550;18440;63602;11,28;
Airbus A340-500;43;8;344;2;5640;5640;5640,00;8612;40000;18440;67052;11,89;
Airbus A340-600;55;8;440;2;5640;5640;5640,00;8612;48000;18440;75052;13,31;
Airbus A350-1000;64;9;576;2;5960;6090;6024,65;7640;51000;15000;73640;12,22;
Airbus A350-800;33;9;297;2;;;;;;;;;
Airbus A350-900;39;9;351;2;;;;;;;;;
Boeing 737 MAX 10;38;6;228;1;3760;4010;3882,99;6200;26930;10301;43431;11,18;
Boeing 737 MAX 7;25;6;150;1;;;;;;;;;
Boeing 737 MAX 8;35;6;210;1;3760;4010;3882,99;6200;22660;10301;39161;10,09;
Boeing 737 MAX 9;36;6;216;1;;;;;;;;;
Boeing 737-100;19;6;114;1;3760;4010;3882,99;6200;12900;8500;27600;7,11;
Boeing 737-200;21;6;126;1;3760;4010;3882,99;6200;14840;8500;29540;7,61;
Boeing 737-600;22;6;132;1;;;;;;;;;
Boeing 737-700;25;6;150;1;;;;;;;;;
Boeing 737-800;31;6;186;1;3760;4010;3882,99;6200;23320;8500;38020;9,79;
Boeing 737-900;36;6;216;1;;;;;;;;;
Boeing 757-300;45;6;270;1;3760;4010;3882,99;5530;40400;8500;54430;14,02;
Boeing 767-300;48;8;384;2;;;;;;;;;
Boeing 777-9;55;10;550;2;6200;6200;6200,00;9980;47774;17456;75210;12,13;
Boeing 787-9;50;9;450;2;5770;5940;5854,38;8346;43626;15508;67480;11,53;
COMAC C919;28;6;168;1;;;;;;;;;
Sukhoi Superjet 100;20;5;100;1;;;;;;;;;
Embraer E 170;19;4;76;1;3064;3250;3155,63;4270;16423;9207;29900;9,48;
Embraer E 175;20;4;80;1;3064;3250;3155,63;4270;18203;9207;31680;10,04;
Embraer E 190;24;4;96;1;3064;3250;3155,63;4270;22763;9207;36240;11,48;
Embraer E 195;27;4;108;1;3064;3250;3155,63;4270;25173;9207;38650;12,25;
Valores máximos;64,0;10,0;576,0;2,0;6200,0;6200,0;6200,0;9980,0;51000,0;18440,0;75210,0;14,0;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
